"","AllContractor","NumberOfActions","Action_Obligation_OMB23_GDP21","MinOfFiscalYear","MaxOfFiscalYear","pos"
"1467","043211838",5,341910.980948316,2003,2021,1467
"1468","825135135",2,340727.460059627,2012,2013,1468
"1469","002045730",4,340320.26930549,2008,2008,1469
"1470","618272038",9,338969.221733274,2006,2010,1470
"1471","830487687",35,337778.160065031,2010,2020,1471
"1472","006068670",3,337364.347730808,2002,2005,1472
"1473","002053544",35,337201.438414426,2002,2021,1473
"1474","961700569",27,336794.033651172,2014,2020,1474
"1475","788660301",9,334982.751389937,2012,2020,1475
"1476","064450554",6,333619.495706603,2003,2019,1476
"1477","877452664",3,332481.20255699,2016,2017,1477
"1478","412916231",1,332406.746185171,2003,2003,1478
"1479","626882609",13,331939.917680722,2005,2021,1479
"1480","079796035",9,331193.680291461,2017,2020,1480
"1481","141807185",7,330694.842084257,2008,2015,1481
"1482","201547189",2,329951.556242478,2000,2000,1482
"1483","824905772",4,328340.843145392,2010,2016,1483
"1484","181709775",41,326660.958199484,2000,2021,1484
"1485","004221487",14,326414.199160191,2000,2009,1485
"1486","008382053",1,325903.96683531,2000,2000,1486
"1487","149984788",3,325492.406985145,2020,2021,1487
"1488","023363542",12,324972.705488759,2000,2015,1488
"1489","831552559",4,324770.96131291,2001,2004,1489
"1490","075942631",7,324123.730765844,2003,2009,1490
"1491","106944788",1,323936.649152625,2002,2002,1491
"1492","101541365",39,323176.58072543,2015,2021,1492
"1493","927751149",3,323171.352030305,2012,2021,1493
"1494","039496559",2,323023.276791946,2000,2001,1494
"1495","080493638",3,322899.265975181,2013,2015,1495
"1496","063421531",4,322823.310104597,2000,2000,1496
"1497","044828457",5,322679.702375582,2003,2013,1497
"1498","118571517",13,322377.461313389,2006,2008,1498
"1499","621631514",27,321623.738918659,2005,2020,1499
"1500","081473071",19,321498.039254174,2009,2010,1500
"1501","124283669",47,321038.073280706,2009,2021,1501
"1502","065625923",5,320941.878843011,2019,2021,1502
"1503","001452606",5,320734.736810074,2000,2005,1503
"1504","005043443",1,320527.665969152,2001,2001,1504
"1505","003308095",5,320305.504951296,2008,2012,1505
"1506","002338804",7,320012.740471347,2005,2012,1506
"1507","966569647",15,319927.296128846,2016,2019,1507
"1508","038085234",17,319695.398030759,2008,2019,1508
"1509","080284096",2,319609.51444299,2018,2018,1509
"1510","009244559",22,317961.951117718,2002,2021,1510
"1511","003778297",9,317364.864730804,2001,2011,1511
"1512","001146216",4,317344.447901429,2000,2002,1512
"1513","185865102",3,316986.363219827,2011,2011,1513
"1514","007371953",3,316561.623617097,2002,2005,1514
"1515","146574830",4,316053.587251426,2007,2013,1515
"1516","037957458",37,315531.200138668,2004,2021,1516
"1517","827167623",1,315529.125,2021,2021,1517
"1518","001078757",1,314508.303988618,2000,2000,1518
"1519","080508657",8,313967.107343885,2018,2021,1519
"1520","101179732",4,313930.948805611,2003,2003,1520
"1521","122546864",1,312651.240054714,2012,2012,1521
"1522","790441195",40,312451.383332996,2010,2020,1522
"1523","171068344",24,311607.700236038,2006,2020,1523
"1524","008365561",2,310712.824214102,2000,2000,1524
"1525","BMT GROUP",10,310577.828276859,2003,2012,1525
"1526","051930709",5,309169.875775345,2004,2008,1526
"1527","797173192",7,308467.608026399,2000,2006,1527
"1528","067658815",13,308070.984481929,2003,2005,1528
"1529","080575588",5,308049.63165566,2019,2021,1529
"1530","001006683",1,307398.504897028,2000,2000,1530
"1531","007901101",28,307300.61253036,2005,2010,1531
"1532","197073190",21,306631.826274495,2004,2008,1532
"1533","004283917",14,306612.730085776,2000,2021,1533
"1534","825420404",23,306550.424836078,2008,2018,1534
"1535","804705101",1,306407.128340737,2008,2008,1535
"1536","076331131",15,305852.255701946,2005,2014,1536
"1537","235758203",5,305129.145567052,2003,2012,1537
"1538","056971781",6,304340.535863574,2002,2016,1538
"1539","927606251",2,303141.923185508,2005,2014,1539
"1540","808604417",3,302795.002543461,2003,2014,1540
"1541","780553129",5,301783.717357174,2000,2006,1541
"1542","131710597",1,301559.400052773,2012,2012,1542
"1543","362949273",38,301366.863116496,2006,2021,1543
"1544","826754269",6,300339.628110022,2003,2005,1544
"1545","059711296",3,299676.259794942,2001,2001,1545
"1546","161124347",3,299614.596392917,2014,2014,1546
"1547","805854874",7,299248.132383647,2012,2018,1547
"1548","209325588",4,298780.73460806,2002,2004,1548
"1549","175690338",2,298771.544747631,2019,2020,1549
"1550","041776824",1,298228.685029449,2005,2005,1550
"1551","944801377",5,297957.306820473,2003,2005,1551
"1552","005570411",3,297560.173980383,2002,2009,1552
"1553","013227439",9,295588.691793626,2005,2018,1553
"1554","193879046",10,295582.495188845,2005,2021,1554
"1555","001148568",6,294583.879262888,2000,2005,1555
"1556","051127306",33,294405.712137144,2003,2021,1556
"1557","066644188",12,294328.830265243,2003,2020,1557
"1558","007946700",1,294305.563919525,2002,2002,1558
"1559","001738046",13,293180.256500941,2005,2021,1559
"1560","184343221",26,293031.888991794,2008,2017,1560
"1561","801920166",8,292979.847410434,2002,2014,1561
"1562","608237186",19,292568.025777496,2002,2020,1562
"1563","184758308",2,292028.401978455,2005,2019,1563
"1564","038243176",3,291971.109946576,2000,2021,1564
"1565","062157532",5,291627.170426897,2005,2006,1565
"1566","830926312",4,290899.24734585,2017,2021,1566
"1567","135775992",7,290838.4568373,2004,2006,1567
"1568","010008589",10,290595.028933028,2002,2014,1568
"1569","061529886",5,289144.361444746,2020,2021,1569
"1570","931863146",8,287602.657257761,2011,2012,1570
"1571","848655627",7,287472.554518608,2010,2015,1571
"1572","615284747",13,287460.44728621,2007,2021,1572
"1573","070943691",4,287354.459291492,2000,2017,1573
"1574","PHYSICAL SCIENCES",2,286597.452632462,2002,2004,1574
"1575","929941888",7,285889.747577313,2001,2014,1575
"1576","039937859",16,285263.732387893,2000,2021,1576
"1577","099025967",1,284674.81837338,2000,2000,1577
"1578","002333151",15,284169.409117469,2006,2021,1578
"1579","012960977",4,282711.831467689,2002,2011,1579
"1580","054966648",10,282520.775226372,2007,2018,1580
"1581","556547172",42,282295.379422316,2005,2016,1581
"1582","361555626",2,281388.193763705,2003,2004,1582
"1583","054189105",11,280736.089894416,2004,2018,1583
"1584","622398659",3,280445.963823761,2003,2008,1584
"1585","110022048",10,279853.904009446,2006,2010,1585
"1586","026069520",1,279339.561721093,2020,2020,1586
"1587","989264809",3,279244.292171422,2000,2002,1587
"1588","603354036",4,279217.368432446,2003,2003,1588
"1589","027209600",4,278583.694253049,2000,2001,1589
"1590","211512995",5,278381.967039475,2012,2015,1590
"1591","217110576",19,276654.766714898,2005,2016,1591
"1592","825971260",3,276086.259101781,2013,2014,1592
"1593","795363332",19,275646.9414,2021,2021,1593
"1594","005170691",1,275598.871597868,2000,2000,1594
"1595","052867405",25,275239.638414028,2001,2021,1595
"1596","121247027",53,274816.640502839,2005,2021,1596
"1597","787820703",1,273845.711677556,2004,2004,1597
"1598","040982196",19,273579.677349136,2005,2014,1598
"1599","006052245",18,273199.489982445,2010,2015,1599
"1600","370009847",1,272437.737847056,2013,2013,1600
"1601","079601769",7,272284.675162994,2018,2021,1601
"1602","174765123",18,272033.96032521,2007,2017,1602
"1603","361096712",1,271268.932934552,2001,2001,1603
"1604","556540219",13,270708.106146769,2010,2010,1604
"1605","177852423",2,270132.061632618,2003,2003,1605
"1606","144962086",26,270007.112124725,2007,2020,1606
"1607","066638719",25,268465.978891603,2000,2021,1607
"1608","963878835",3,267142.152342631,2011,2012,1608
"1609","176329795",1,266947.312788116,2010,2010,1609
"1610","876954975",32,266945.303623514,2008,2021,1610
"1611","058086331",2,266759.661916432,2000,2000,1611
"1612","123461308",8,265076.516207707,2004,2009,1612
"1613","052445632",7,264950.912575693,2003,2008,1613
"1614","622427011",3,263088.302082454,2001,2003,1614
"1615","001947357",5,262693.230756914,2004,2021,1615
"1616","158058417",39,262304.394297456,2017,2021,1616
"1617","002266575",10,261979.470441716,2003,2009,1617
"1618","080874366",3,259648.058685727,2018,2021,1618
"1619","059889626",5,259612.30070853,2014,2017,1619
"1620","001162395",3,259141.266122084,2000,2001,1620
"1621","361560576",5,257786.772231296,2010,2011,1621
"1622","217456490",3,256467.37932025,2004,2007,1622
"1623","009647454",3,256230.775432299,2006,2006,1623
"1624","144270548",6,256204.720154097,2011,2021,1624
"1625","074233990",14,255747.296676705,2009,2015,1625
"1626","060792215",3,255589.573936337,2001,2001,1626
"1627","099286106",77,255403.006125501,2004,2021,1627
"1628","956722169",7,255344.830866559,2002,2007,1628
"1629","074519604",5,254824.181101253,2002,2005,1629
"1630","051657625",5,254608.307261562,2003,2005,1630
"1631","057477994",8,252953.022327917,2006,2012,1631
"1632","883506297",3,251132.251140215,2018,2019,1632
"1633","056296049",2,250641.630178461,2001,2009,1633
"1634","003171311",9,250352.284437352,2003,2013,1634
"1635","ATLANTIC DIVING SUPPLY",5,250255.051148613,2009,2015,1635
"1636","121574040",1,250000,2021,2021,1636
"1637","076193358",4,249585.086749445,2002,2007,1637
"1638","096580022",1,248127.308150239,2003,2003,1638
"1639","079712936",4,247857.563443375,2012,2013,1639
"1640","004482071",5,247750.302831189,2000,2003,1640
"1641","051923761",2,247670.124874803,2000,2001,1641
"1642","041326695",2,247514.73010164,2001,2003,1642
"1643","121295380",36,247442.926533633,2006,2021,1643
"1644","003292885",3,247204.36248045,2003,2007,1644
"1645","130013753",1,247155.878090267,2003,2003,1645
"1646","620618728",2,246557.863081755,2015,2017,1646
"1647","008962920",1,245500.382728462,2002,2002,1647
"1648","071137822",9,244696.92290885,2019,2021,1648
"1649","056509730",14,244432.564852428,2012,2019,1649
"1650","112572359",2,244157.176171422,2002,2003,1650
"1651","999051428",2,244008.304823346,2000,2000,1651
"1652","122289440",42,243836.352734649,2003,2021,1652
"1653","BEHRMAN CAPITAL [PELICAN PRODUCTS, INC ]",7,243685.57032374,2004,2007,1653
"1654","006326078",25,243561.943089342,2010,2020,1654
"1655","035910470",5,243509.847228828,2000,2004,1655
"1656","006002513",23,243287.503664643,2003,2021,1656
"1657","803443949",2,242999.8555,2021,2021,1657
"1658","081172751",17,242599.625236655,2001,2013,1658
"1659","107195195",19,242045.878014759,2005,2006,1659
"1660","081139190",2,241707,2021,2021,1660
"1661","119221737",89,241308.657369966,2006,2021,1661
"1662","809349074",17,241306.851139978,2011,2016,1662
"1663","045916223",2,241154.754750743,2003,2005,1663
"1664","026494158",12,241024.819008969,2005,2021,1664
"1665","009528654",15,240958.896716481,2005,2014,1665
"1666","112132225",1,240459.558909631,2006,2006,1666
"1667","783840635",15,240043.057508515,2008,2017,1667
"1668","011289725",8,239046.105397572,2009,2014,1668
"1669","075611033",5,238916.840939213,2002,2018,1669
"1670","117398974",12,238541.078682288,2003,2015,1670
"1671","004277620",3,238459.001456652,2000,2004,1671
"1672","789233590",10,238054.316803314,2001,2021,1672
"1673","007776792",8,236865.157294877,2007,2018,1673
"1674","868649971",1,236652.545114535,2000,2000,1674
"1675","005318563",2,236536.170526008,2000,2002,1675
"1676","079526360",3,236532.175531357,2020,2021,1676
"1677","038813333",47,234232.758023405,2004,2006,1677
"1678","013550462",4,233822.200212859,2005,2006,1678
"1679","038775151",18,233755.07057152,2000,2011,1679
"1680","612126649",11,233684.903425108,2002,2013,1680
"1681","065799991",14,233186.351434254,2000,2021,1681
"1682","HARRIS",11,233165.727658777,2005,2019,1682
"1683","849584297",2,232776.947802889,2002,2004,1683
"1684","097382592",11,232580.636356608,2006,2010,1684
"1685","803401207",22,232532.502059501,2016,2021,1685
"1686","041668195",2,231798.755889957,2001,2001,1686
"1687","001144567",2,231515.563485209,2001,2004,1687
"1688","079850673",39,231371.758971015,2001,2021,1688
"1689","063898472",12,230992.525651333,2004,2017,1689
"1690","059513879",3,230686.181758005,2001,2001,1690
"1691","058853153",14,230613.690142296,2020,2021,1691
"1692","794360685",5,230276.870668656,2000,2020,1692
"1693","079515633",38,229889.656733802,2015,2018,1693
"1694","152075743",2,229592.532176921,2000,2002,1694
"1695","051101350",9,229492.499972177,2010,2014,1695
"1696","101382138",13,228982.027314228,2015,2020,1696
"1697","068834092",12,228407.444700244,2010,2019,1697
"1698","046096319",17,227991.522870763,2006,2021,1698
"1699","008266892",7,227972.919293444,2005,2010,1699
"1700","946249039",62,227925.561143505,2012,2021,1700
"1701","017285487",5,227900.581020049,2015,2020,1701
"1702","424992964",3,227818.836896219,2002,2003,1702
"1703","067615435",5,227584.847554993,2003,2005,1703
"1704","069935666",13,227387.912081349,2000,2013,1704
"1705","595155664",7,227337.35512903,2003,2019,1705
"1706","687834705",38,226771.105315016,2008,2014,1706
"1707","175570662",13,226270.152450679,2005,2021,1707
"1708","122538267",11,226014.495217084,2005,2021,1708
"1709","001443449",8,225919.054190605,2000,2008,1709
"1710","804407745",42,225692.810419045,2010,2021,1710
"1711","054414339",3,224921.187642472,2005,2006,1711
"1712","075170808",1,224529.351266046,2007,2007,1712
"1713","188172829",2,224507.331214808,2000,2001,1713
"1714","160975009",34,224498.052760314,2004,2021,1714
"1715","015364870",7,222388.503433974,2003,2021,1715
"1716","016064148",1,221923.455038837,2012,2012,1716
"1717","010485837",48,221711.98942618,2001,2021,1717
"1718","196748305",25,221706.442936066,2000,2021,1718
"1719","787980759",7,221138.909853975,2011,2014,1719
"1720","005686048",3,220871.387750754,2003,2003,1720
"1721","066185141",13,219999.574565147,2016,2021,1721
"1722","075462853",16,219914.000416977,2015,2021,1722
"1723","947118998",4,219602.368745855,2005,2009,1723
"1724","058108994",1,219445.363995512,2019,2019,1724
"1725","606837698",11,219059.413577342,2006,2021,1725
"1726","103484296",3,219038.783240821,2003,2006,1726
"1727","076350701",8,216028.274066989,2003,2006,1727
"1728","102112104",5,215676.452549866,2002,2007,1728
"1729","005337076",17,215653.745642682,2006,2019,1729
"1730","061720512",5,215633.873195617,2002,2005,1730
"1731","058100074",9,215402.195055692,2004,2006,1731
"1732","078740422",4,215082,2021,2021,1732
"1733","057636321",8,215067.748523558,2000,2017,1733
"1734","840623383",2,214980.365835192,2002,2003,1734
"1735","001211796",2,214678.568131566,2004,2004,1735
"1736","094004199",3,214563.895800111,2000,2015,1736
"1737","187219196",7,214403.887459688,2010,2019,1737
"1738","081101404",2,214188.038562556,2000,2001,1738
"1739","808948327",4,213830.258878107,2012,2016,1739
"1740","830441262",8,212832.902188982,2010,2021,1740
"1741","798798570",5,212532.660069441,2008,2010,1741
"1742","106238251",2,212502.597364464,2004,2004,1742
"1743","064695190",12,211632.356438803,2000,2012,1743
"1744","216246496",6,211613.566716751,2007,2011,1744
"1745","113500680",2,211508.877709667,2001,2001,1745
"1746","805347411",2,210404.160763581,2008,2010,1746
"1747","030475743",4,210215.809345973,2006,2007,1747
"1748","004265963",6,209704.605909785,2010,2017,1748
"1749","GPC CONSOLIDATED REPORTING",3,209527.839181626,2004,2006,1749
"1750","UNIVERSITY OF FLORIDA",1,209444.394173717,2019,2019,1750
"1751","007945004",3,209162.653256583,2018,2020,1751
"1752","150191752",27,208805.148557435,2016,2021,1752
"1753","195780275",2,208514.543098452,2003,2007,1753
"1754","021804661",2,208400.389409509,2005,2008,1754
"1755","753095850",7,208108.094979486,2020,2021,1755
"1756","157287921",5,208094.971793117,2004,2009,1756
"1757","086735487",1,207657.544375371,2001,2001,1757
"1758","067744300",2,207379.243572374,2010,2013,1758
"1759","065652315",13,207109.817427494,2001,2021,1759
"1760","161326251",16,206833.008161241,2009,2017,1760
"1761","S&K TECHNOLOGIES",3,206449.25,2021,2021,1761
"1762","868140278",1,206357.119951028,2004,2004,1762
"1763","FORCE PROTECTION",4,206193.10256824,2008,2009,1763
"1764","008228405",22,205953.066690554,2018,2021,1764
"1765","001960715",9,205571.096937053,2006,2016,1765
"1766","108965674",4,205312.640047153,2020,2021,1766
"1767","051741379",2,205262.857948009,2011,2012,1767
"1768","809670008",11,205032.715764746,2010,2016,1768
"1769","064747488",4,205026.212758465,2009,2015,1769
"1770","002206639",2,204841.734329088,2002,2005,1770
"1771","011123802",1,204208.284319374,2019,2019,1771
"1772","063157812",2,203868.147803252,2011,2015,1772
"1773","036453884",1,202917.509208604,2000,2000,1773
"1774","006277529",3,202698.765107565,2001,2003,1774
"1775","065972650",2,202636.494196794,2007,2007,1775
"1776","799727305",4,202561.859905025,2003,2011,1776
"1777","008502114",5,201945.57719726,2001,2009,1777
"1778","963709212",3,201877.265035329,2012,2012,1778
