"","fydp_year","account","organization","program_number","program_name","project_number","project_name","fy","amount","amount_18","stage"
"936","2008 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2006,3999000,4.86853224439497,"Applied Research"
"937","2008 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2006,7356000,8.95546966485857,"Advanced Technology Development"
"938","2008 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program",NA,"Aircraft Engine Component Improvement Program (USA)",2006,1982000,2.41296096733954,"Operational Systems Development"
"939","2008 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2007,72689000,86.1549299880568,"Applied Research"
"940","2008 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2007,21167000,25.0882719951739,"Advanced Technology Development"
"941","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2007,29825000,35.3502013632571,"Applied Research"
"942","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2007,24599000,29.1560638167565,"Applied Research"
"943","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2007,42568000,50.4538934327285,"Applied Research"
"944","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2007,9432000,11.1793159851883,"Advanced Technology Development"
"945","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2007,27729000,32.8659089221041,"Advanced Technology Development"
"946","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2007,27922000,33.0946629493668,"Advanced Technology Development"
"947","2008 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2007,153736000,182.216213136016,"Operational Systems Development"
"948","2008 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","652","AV-8B",2007,21682000,25.6986778192168,"System Development & Demonstration"
"949","2008 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2007,58458000,69.2875799260112,"Operational Systems Development"
"950","2008 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2007,1935000,2.29346654276287,"Basic Research"
"951","2008 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2007,4285000,5.0788135068418,"Applied Research"
"952","2008 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2007,8284000,9.81864436188505,"Advanced Technology Development"
"953","2008 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program",NA,"Aircraft Engine Component Improvement Program (USA)",2007,851000,1.00865117720475,"Operational Systems Development"
"954","2008 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2008,46921000,54.482472232888,"Applied Research"
"955","2008 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2008,20272000,23.5388989387504,"Advanced Technology Development"
"956","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2008,21984000,25.5267933242644,"Applied Research"
"957","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2008,17349000,20.1448479522682,"Applied Research"
"958","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2008,51506000,59.8063599417559,"Applied Research"
"959","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2008,7524000,8.73651714755119,"Advanced Technology Development"
"960","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2008,16459000,19.1114215485839,"Advanced Technology Development"
"961","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2008,33507000,38.9067623688195,"Advanced Technology Development"
"962","2008 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2008,139042000,161.449071933787,"Operational Systems Development"
"963","2008 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","652","AV-8B",2008,17360000,20.1576206381564,"System Development & Demonstration"
"964","2008 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2008,57616000,66.9010063760379,"Operational Systems Development"
"965","2008 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2008,2198000,2.55221487112141,"Basic Research"
"966","2008 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2008,4175000,4.84781487121561,"Applied Research"
"967","2008 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2008,8507000,9.87793080465417,"Advanced Technology Development"
"968","2008 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program",NA,"Aircraft Engine Component Improvement Program (USA)",2008,476000,0.552708952981707,"Operational Systems Development"
"969","2008 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2009,38459000,44.1432402019061,"Applied Research"
"970","2008 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2009,20662000,23.715843601024,"Advanced Technology Development"
"971","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2009,21639000,24.8372442010725,"Applied Research"
"972","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2009,26088000,29.943806401293,"Applied Research"
"973","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2009,83546000,95.8940988041407,"Applied Research"
"974","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2009,12177000,13.9767606006035,"Advanced Technology Development"
"975","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2009,31950000,36.6722100015835,"Advanced Technology Development"
"976","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2009,54536000,62.5964208027029,"Advanced Technology Development"
"977","2008 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2009,163137000,187.248648608085,"Operational Systems Development"
"978","2008 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","652","AV-8B",2009,26277000,30.1607406013023,"System Development & Demonstration"
"979","2008 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2009,60921000,69.9251238030194,"Operational Systems Development"
"980","2008 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2009,2253000,2.58599340011166,"Basic Research"
"981","2008 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2009,4242000,4.86896760021024,"Applied Research"
"982","2008 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2009,8688000,9.9720864004306,"Advanced Technology Development"
"983","2008 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program",NA,"Aircraft Engine Component Improvement Program (USA)",2009,331000,0.379921800016405,"Operational Systems Development"
"984","2008 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2010,50459000,57.4116179587127,"Applied Research"
"985","2008 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2010,22675000,25.799330886736,"Advanced Technology Development"
"986","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2010,22203000,25.2622952008026,"Applied Research"
"987","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2010,26678000,30.3538941299379,"Applied Research"
"988","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2010,76501000,87.0418792576048,"Applied Research"
"989","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2010,12658000,14.4021137977642,"Advanced Technology Development"
"990","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2010,43207000,49.160383224838,"Advanced Technology Development"
"991","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2010,74194000,84.4170035638584,"Advanced Technology Development"
"992","2008 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2010,163615000,186.159096936419,"Operational Systems Development"
"993","2008 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","652","AV-8B",2010,14790000,16.827876684226,"System Development & Demonstration"
"994","2008 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2010,60054000,68.3286887352609,"Operational Systems Development"
"995","2008 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2010,2252000,2.56229738288553,"Basic Research"
"996","2008 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2010,4287000,4.87769488473813,"Applied Research"
"997","2008 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2010,9893000,11.2561314426672,"Advanced Technology Development"
"998","2008 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program",NA,"Aircraft Engine Component Improvement Program (USA)",2010,NA,NA,"Operational Systems Development"
"999","2008 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2011,48142000,53.6844336898312,"Applied Research"
"1000","2008 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2011,21751000,24.25512,"Advanced Technology Development"
"1001","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2011,23141000,25.80515,"Applied Research"
"1002","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2011,19067000,21.26212,"Applied Research"
"1003","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2011,46558000,51.91807,"Applied Research"
"1004","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2011,10776000,12.01661,"Advanced Technology Development"
"1005","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2011,55598000,61.99882,"Advanced Technology Development"
"1006","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2011,48168000,53.71343,"Advanced Technology Development"
"1007","2008 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2011,169097000,188.5646,"Operational Systems Development"
"1008","2008 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","652","AV-8B",2011,12485000,13.92236,"System Development & Demonstration"
"1009","2008 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2011,61134000,68.17216,"Operational Systems Development"
"1010","2008 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2011,2260000,2.520187,"Basic Research"
"1011","2008 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2011,4319000,4.816233,"Applied Research"
"1012","2008 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2011,10262000,11.44343,"Advanced Technology Development"
"1013","2008 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program",NA,"Aircraft Engine Component Improvement Program (USA)",2011,NA,NA,"Operational Systems Development"
"1014","2008 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2012,43843000,48.01354,"Applied Research"
"1015","2008 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2012,21419000,23.45647,"Advanced Technology Development"
"1016","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2012,22936000,25.11778,"Applied Research"
"1017","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2012,17954000,19.66187,"Applied Research"
"1018","2008 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2012,40753000,44.62961,"Applied Research"
"1019","2008 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2012,8523000,9.333746,"Advanced Technology Development"
